"_time",Casual,Member,"_span"
1420099200,11,43,3600
1420102800,9,109,3600
1420106400,5,99,3600
1420110000,0,16,3600
1420113600,0,8,3600
1420117200,0,6,3600
1420120800,3,4,3600
1420124400,3,8,3600
1420128000,6,26,3600
1420131600,7,39,3600
1420135200,26,78,3600
1420138800,55,164,3600
1420142400,42,165,3600
1420146000,40,170,3600
1420149600,80,154,3600
1420153200,53,198,3600
1420156800,95,190,3600
1420160400,56,147,3600
1420164000,27,123,3600
1420167600,14,84,3600
1420171200,7,83,3600
1420174800,11,60,3600
1420178400,8,47,3600
1420182000,1,31,3600
1420185600,3,22,3600
1420189200,1,17,3600
1420192800,0,8,3600
1420196400,3,2,3600
1420200000,2,3,3600
1420203600,0,24,3600
1420207200,0,70,3600
1420210800,0,163,3600
1420214400,8,339,3600
1420218000,31,279,3600
1420221600,39,153,3600
1420225200,76,216,3600
1420228800,137,276,3600
1420232400,102,274,3600
1420236000,123,279,3600
1420239600,109,311,3600
1420243200,106,392,3600
1420246800,69,396,3600
1420250400,56,328,3600
1420254000,40,211,3600
1420257600,10,141,3600
1420261200,4,135,3600
1420264800,19,98,3600
1420268400,0,80,3600
1420272000,10,53,3600
1420275600,10,41,3600
1420279200,0,22,3600
1420282800,2,12,3600
1420286400,0,6,3600
1420290000,0,2,3600
1420293600,0,11,3600
1420297200,0,26,3600
1420300800,7,33,3600
1420304400,11,73,3600
1420308000,24,138,3600
1420311600,24,112,3600
1420315200,11,84,3600
1420318800,19,101,3600
1420322400,29,115,3600
1420326000,28,129,3600
1420329600,11,111,3600
1420333200,11,93,3600
1420336800,9,106,3600
1420340400,6,79,3600
1420344000,3,47,3600
1420347600,0,26,3600
1420351200,2,24,3600
1420354800,0,57,3600
1420358400,2,33,3600
1420362000,2,30,3600
1420365600,1,27,3600
1420369200,0,10,3600
1420372800,0,3,3600
1420376400,0,4,3600
1420380000,2,4,3600
1420383600,0,12,3600
1420387200,5,40,3600
1420390800,5,107,3600
1420394400,21,194,3600
1420398000,34,231,3600
1420401600,44,303,3600
1420405200,65,281,3600
1420408800,69,315,3600
1420412400,56,390,3600
1420416000,61,352,3600
1420419600,59,280,3600
1420423200,38,235,3600
