timestamp,"bike_id","member_type","date_hour","date_wday","duration_ms","start_station"
1451633460,W20832,Casual,23,thursday,1002561,"4th & East Capitol St NE"
1451631780,W00991,Registered,23,thursday,1566094,"Park Rd & Holmead Pl NW"
1451629560,W00954,Registered,22,thursday,302947,"Convention Center / 7th & M St NW"
1451625780,W21041,Registered,21,thursday,745353,"New Hampshire Ave & T St NW"
1451625720,W00044,Registered,21,thursday,588989,"Adams Mill & Columbia Rd NW"
1451620860,W21333,Registered,20,thursday,426273,"Wisconsin Ave & Newark St NW"
1451619780,W00499,Registered,19,thursday,825706,"3rd & H St NE"
1451616480,W21657,Registered,18,thursday,861905,"11th & Kenyon St NW"
1451612760,W21985,Registered,17,thursday,437186,"4th & East Capitol St NE"
1451610300,W21028,Registered,17,thursday,456126,"25th St & Pennsylvania Ave NW"
1451608680,W20736,Registered,16,thursday,1065892,"Columbus Circle / Union Station"
1451608620,W00714,Casual,16,thursday,1815615,"Ward Circle / American University"
1451607720,W01149,Registered,16,thursday,1728608,"1st & Rhode Island Ave NW"
1451607180,W01138,Registered,16,thursday,177734,"Adams Mill & Columbia Rd NW"
1451606880,W21606,Casual,16,thursday,711644,"17th & G St NW"
1451605860,W20554,Registered,15,thursday,856485,"North Capitol St & F St NW"
1451605140,W21459,Casual,15,thursday,1473248,"Jefferson Memorial"
1451605020,W00334,Registered,15,thursday,260459,"New Hampshire Ave & 24th St NW"
1451604300,W22140,Registered,15,thursday,222315,"Wilson Blvd & N Uhle St"
1451604000,W20791,Registered,15,thursday,171709,"Columbus Circle / Union Station"
1451603760,W21032,Registered,15,thursday,1099388,"20th & L St NW"
1451603040,W20512,Casual,15,thursday,562715,"Thomas Circle"
1451602980,W00082,Registered,15,thursday,352080,"Takoma Metro"
1451601420,W21951,Registered,14,thursday,1430792,"Iwo Jima Memorial/N Meade & 14th St N"
1451601180,W00044,Registered,14,thursday,958983,"Thomas Circle"
1451600760,W20130,Registered,14,thursday,138044,"New Hampshire Ave & T St NW"
1451600040,W20488,Casual,14,thursday,5340617,"Smithsonian / Jefferson Dr & 12th St SW"
1451598840,W21533,Registered,13,thursday,108116,"N Rhodes & 16th St N"
1451598240,W21726,Registered,13,thursday,509650,"Columbia Rd & Belmont St NW"
1451597880,W00301,Casual,13,thursday,1887980,"17th & K St NW / Farragut Square"
1451597820,W00382,Casual,13,thursday,6185115,"17th & G St NW"
1451597640,W21188,Casual,13,thursday,1344856,"19th & E Street NW"
1451597340,W00493,Casual,13,thursday,2417809,"34th & Water St NW"
1451597040,W00994,Registered,13,thursday,485048,"Columbus Circle / Union Station"
1451596860,W22226,Registered,13,thursday,194401,"Lincoln Park / 13th & East Capitol St NE"
1451595540,W21436,Casual,12,thursday,1803367,"Lincoln Memorial"
1451594460,W21638,Casual,12,thursday,1438155,"Crystal City Metro / 18th & Bell St"
1451593860,W20769,Casual,12,thursday,1147318,"Jefferson Dr & 14th St SW"
1451593020,W01394,Registered,12,thursday,319712,"Calvert St & Woodley Pl NW"
1451593020,W01385,Registered,12,thursday,670833,"3rd & Elm St NW"
1451592240,W20942,Registered,12,thursday,981990,"Thomas Circle"
1451587860,W20824,Registered,10,thursday,550329,"12th & L St NW"
1451587140,W01195,Registered,10,thursday,352787,"17th & Corcoran St NW"
1451587140,W01098,Registered,10,thursday,349970,"14th & D St SE"
1451586540,W21906,Registered,10,thursday,207619,"Calvert St & Woodley Pl NW"
1451585820,W00711,Registered,10,thursday,247831,"Lincoln Park / 13th & East Capitol St NE"
1451584020,W00673,Casual,9,thursday,1685262,"20th St & Florida Ave NW"
1451581020,W00589,Registered,8,thursday,450590,"13th & D St NE"
1451578860,W20394,Registered,8,thursday,593638,"16th & Harvard St NW"
1451578680,W00417,Registered,8,thursday,585450,"Columbus Circle / Union Station"
1451578560,W20728,Registered,8,thursday,600890,"17th & Corcoran St NW"
1451576940,W01372,Registered,7,thursday,549632,"Constitution Ave & 2nd St NW/DOL"
1451576940,W22231,Registered,7,thursday,562497,"20th & L St NW"
1451574360,W00953,Registered,7,thursday,395435,"12th & L St NW"
1451570700,W00929,Registered,6,thursday,593210,"New Hampshire Ave & T St NW"
1451569920,W00347,Registered,5,thursday,1691492,"Connecticut Ave & Newark St NW / Cleveland Park"
1451565420,W21302,Registered,4,thursday,2029598,"D St & Maryland Ave NE"
1451556360,W20011,Casual,2,thursday,335364,"14th & Harvard St NW"
1451544180,W21420,Registered,22,wednesday,751854,"5th & F St NW"
1451543880,W21868,Registered,22,wednesday,829603,"Clarendon Metro / Wilson Blvd & N Highland St"
1451538480,W00360,Registered,21,wednesday,881501,"15th & P St NW"
1451533680,W00156,Registered,19,wednesday,280779,"Park Rd & Holmead Pl NW"
1451530740,W21413,Registered,18,wednesday,1056469,"North Capitol St & F St NW"
1451529360,W01338,Casual,18,wednesday,1681995,"Maryland & Independence Ave SW"
1451528820,W00142,Registered,18,wednesday,324264,"23rd & E St NW"
1451528280,W01468,Registered,18,wednesday,243284,"M St & Delaware Ave NE"
1451527380,W01149,Registered,18,wednesday,1205314,"14th & D St NW / Ronald Reagan Building"
1451524140,W00225,Casual,17,wednesday,1439199,"Lincoln Memorial"
1451523480,W20373,Registered,16,wednesday,750151,"Potomac Ave & 8th St SE"
1451520960,W20240,Registered,16,wednesday,472133,"Jefferson Dr & 14th St SW"
1451519040,W20901,Casual,15,wednesday,788017,"Washington & Independence Ave SW/HHS"
1451513640,W21460,Casual,14,wednesday,316801,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials"
1451513220,W21825,Casual,14,wednesday,1557416,"Lincoln Memorial"
1451511780,W20372,Casual,13,wednesday,1898989,"Jefferson Dr & 14th St SW"
1451511480,W22083,Registered,13,wednesday,1286962,"20th & O St NW / Dupont South"
1451510820,W20617,Registered,13,wednesday,322761,"7th & F St NW / National Portrait Gallery"
1451510280,W21855,Registered,13,wednesday,1274288,"M St & Pennsylvania Ave NW"
1451510280,W21985,Registered,13,wednesday,298350,"Neal St & Trinidad Ave NE"
1451509860,W20051,Registered,13,wednesday,345891,"18th & M St NW"
1451507580,W01381,Casual,12,wednesday,1661928,"10th & E St NW"
1451506980,W20998,Registered,12,wednesday,175100,"California St & Florida Ave NW"
1451506320,W01041,Registered,12,wednesday,1126183,"21st & M St NW"
1451505600,W00939,Registered,12,wednesday,302936,"19th & G St NW"
1451504520,W01496,Registered,11,wednesday,316590,"18th St & Wyoming Ave NW"
1451503680,W21742,Registered,11,wednesday,395759,"19th & L St NW"
1451503200,W20887,Casual,11,wednesday,440540,"17th & K St NW"
1451500440,W00717,Registered,10,wednesday,618655,"14th & Rhode Island Ave NW"
1451499900,W22033,Registered,10,wednesday,890717,"39th & Calvert St NW / Stoddert"
1451498160,W22047,Casual,9,wednesday,632887,"17th & Rhode Island Ave NW"
1451497860,W20740,Casual,9,wednesday,1209801,"Jefferson Dr & 14th St SW"
1451497500,W00655,Registered,9,wednesday,736910,"North Capitol St & G Pl NE"
1451496300,W21209,Registered,9,wednesday,673370,"5th & K St NW"
1451495580,W00169,Registered,9,wednesday,295125,"12th & L St NW"
1451494200,W21261,Casual,8,wednesday,1110933,"Jefferson Dr & 14th St SW"
