id,URL,app,author,cron_schedule,description,qualifiedSearch,title
1,https://127.0.0.1:8089/servicesNS/nobody/splunk_archiver/saved/searches/Bucket%20Copy%20Trigger,splunk_archiver,nobody,17 * * * *,Triggers bucket copying,| search terms here ...,Bucket Copy Trigger
2,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Abnormal%20State%20of%20Indexer%20Processor,splunk_monitoring_console,nobody,"3,8,13,18,23,28,33,38,43,48,53,58 * * * *",One or more of your indexers is reporting an abnormal state.,| search terms here ...,DMC Alert - Abnormal State of Indexer Processor
3,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Critical%20System%20Physical%20Memory%20Usage,splunk_monitoring_console,nobody,"3,8,13,18,23,28,33,38,43,48,53,58 * * * *",One or more instances has exceeded 90% memory usage.,| search terms here ...,DMC Alert - Critical System Physical Memory Usage
4,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Expired%20and%20Soon%20To%20Expire%20Licenses,splunk_monitoring_console,nobody,3 0 * * *,You have licenses that expired or will expire within 2 weeks.,| search terms here ...,DMC Alert - Expired and Soon To Expire Licenses
5,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Missing%20forwarders,splunk_monitoring_console,nobody,*/15 * * * *,One or more forwarders are missing.,| search terms here ...,DMC Alert - Missing forwarders
6,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Near%20Critical%20Disk%20Usage,splunk_monitoring_console,nobody,"3,33 * * * *",You have used 80% of your disk capacity.,| search terms here ...,DMC Alert - Near Critical Disk Usage
7,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Saturated%20Event-Processing%20Queues,splunk_monitoring_console,nobody,"3,13,23,33,43,53 * * * *","One or more of your indexer queues is reporting a fill percentage, averaged over the last 15 minutes, of 90% or more.",| search terms here ...,DMC Alert - Saturated Event-Processing Queues
8,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Search%20Peer%20Not%20Responding,splunk_monitoring_console,nobody,"3,8,13,18,23,28,33,38,43,48,53,58 * * * *",One or more of your search peers is currently down.,| search terms here ...,DMC Alert - Search Peer Not Responding
9,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Alert%20-%20Total%20License%20Usage%20Near%20Daily%20Quota,splunk_monitoring_console,nobody,"3,33 * * * *",You have used 90% of your total daily license quota.,| search terms here ...,DMC Alert - Total License Usage Near Daily Quota
10,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Asset%20-%20Build%20Full,splunk_monitoring_console,nobody,,,| search terms here ...,DMC Asset - Build Full
11,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Asset%20-%20Build%20Standalone%20Asset%20Table,splunk_monitoring_console,nobody,*/1 * * * *,This search establishes an updated cache of metadata necessary for the localhost to be included in DMC dashboards. This search will be disabled when user go throught the setup process. and will be re-enabled when user resets to factory mode.,| search terms here ...,DMC Asset - Build Standalone Asset Table
12,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Asset%20-%20Build%20Standalone%20Computed%20Groups%20Only,splunk_monitoring_console,nobody,,,| search terms here ...,DMC Asset - Build Standalone Computed Groups Only
13,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20Forwarder%20-%20Build%20Asset%20Table,splunk_monitoring_console,nobody,"3,18,33,48 * * * *",,| search terms here ...,DMC Forwarder - Build Asset Table
14,https://127.0.0.1:8089/servicesNS/nobody/splunk_monitoring_console/saved/searches/DMC%20License%20Usage%20Data%20Cube,splunk_monitoring_console,nobody,,,| search terms here ...,DMC License Usage Data Cube
15,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/Errors%20in%20the%20last%2024%20hours,search,nobody,,,| search terms here ...,Errors in the last 24 hours
16,https://127.0.0.1:8089/servicesNS/nobody/search/saved/searches/Errors%20in%20the%20last%20hour,search,nobody,,,| search terms here ...,Errors in the last hour
