category,axis,value
0030b00001dnmJ8AAI,"Business Value","9.7"
0030b00001dnmJ8AAI,Community,"9.66"
0030b00001dnmJ8AAI,Enablement,"9.64"
0030b00001dnmJ8AAI,Foundations,"9.56"
0030b00001dnmJ8AAI,Governance,"9.68"
0030b00001dnmJ8AAI,"Operational Excellence","4.992"
0030b00001dnu5IAAQ,"Business Value","8.1"
0030b00001dnu5IAAQ,Community,"7.4"
0030b00001dnu5IAAQ,Enablement,"6.8"
0030b00001dnu5IAAQ,Foundations,"7.99"
0030b00001dnu5IAAQ,Governance,"6.53"
0030b00001dnu5IAAQ,"Operational Excellence","8.286"
0030b00001dnwrbAAA,"Business Value","7.9"
0030b00001dnwrbAAA,Community,"8.7"
0030b00001dnwrbAAA,Enablement,"8.7"
0030b00001dnwrbAAA,Foundations,"8.66"
0030b00001dnwrbAAA,Governance,"8.435"
0030b00001dnwrbAAA,"Operational Excellence","9.118"
0030b00001dnwvTAAQ,"Business Value","4.45"
0030b00001dnwvTAAQ,Community,"4.4"
0030b00001dnwvTAAQ,Enablement,"4.3"
0030b00001dnwvTAAQ,Foundations,"6.02"
0030b00001dnwvTAAQ,Governance,"4.705"
0030b00001dnwvTAAQ,"Operational Excellence","5.79"
0030b00001dnzIaAAI,"Business Value","4.2"
0030b00001dnzIaAAI,Community,"4.9"
0030b00001dnzIaAAI,Enablement,"4.12"
0030b00001dnzIaAAI,Foundations,"3.88"
0030b00001dnzIaAAI,Governance,"3.77"
0030b00001dnzIaAAI,"Operational Excellence","4.104"
0030b00001do1utAAA,Foundations,"3.84"
0030b00001do3fvAAA,"Business Value","9.4"
0030b00001do3fvAAA,Community,"9.3"
0030b00001do3fvAAA,Enablement,"7.7"
0030b00001do3fvAAA,Foundations,"8.9"
0030b00001do3fvAAA,Governance,"8.295"
0030b00001do3fvAAA,"Operational Excellence",9
0030b00001doG8DAAU,"Business Value","0.65"
0030b00001doG8DAAU,Community,"3.06"
0030b00001doG8DAAU,Enablement,"2.68"
0030b00001doG8DAAU,Foundations,"3.48"
0030b00001doG8DAAU,Governance,"6.4"
0030b00001doG8DAAU,"Operational Excellence","8.866"
0030b00001doGuaAAE,"Business Value","5.4"
0030b00001doGuaAAE,Community,"4.8"
0030b00001doGuaAAE,Enablement,5
0030b00001doGuaAAE,Foundations,"6.33"
0030b00001doGuaAAE,Governance,"5.23"
0030b00001doGuaAAE,"Operational Excellence",5
0030b00001doKM3AAM,"Business Value","7.05"
0030b00001doKM3AAM,Community,"8.3"
0030b00001doKM3AAM,Enablement,"5.42"
0030b00001doKM3AAM,Foundations,"9.01"
0030b00001doKM3AAM,Governance,"6.2"
0030b00001doKM3AAM,"Operational Excellence","5.458"
0030b00001doQOxAAM,"Business Value","2.1"
0030b00001doQOxAAM,Community,"5.22"
0030b00001doQOxAAM,Enablement,"2.76"
0030b00001doQOxAAM,Foundations,"2.69"
0030b00001doQOxAAM,Governance,"3.115"
0030b00001doQOxAAM,"Operational Excellence","4.74"
0030b00001doU4qAAE,"Business Value","6.2"
0030b00001doU4qAAE,Foundations,"6.11"
0030b00001doU4qAAE,Governance,"5.145"
0030b00001dofgSAAQ,"Business Value","7.45"
0030b00001dofgSAAQ,Community,"9.58"
0030b00001dofgSAAQ,Enablement,"8.88"
0030b00001dofgSAAQ,Foundations,10
0030b00001dofgSAAQ,Governance,"7.565"
0030b00001dofgSAAQ,"Operational Excellence","8.38"
0030b00001dog2EAAQ,"Business Value","5.5"
0030b00001dog2EAAQ,Community,"3.82"
0030b00001dog2EAAQ,Enablement,"6.5"
0030b00001dog2EAAQ,Foundations,"7.13"
0030b00001dog2EAAQ,Governance,"4.83"
0030b00001dog2EAAQ,"Operational Excellence","7.558"
0030b00001doj2VAAQ,"Business Value",0
0030b00001doj2VAAQ,Community,"8.62"
0030b00001doj2VAAQ,Enablement,"2.44"
0030b00001doj2VAAQ,Foundations,0
0030b00001doj2VAAQ,Governance,"2.13"
0030b00001doj2VAAQ,"Operational Excellence","0.61"
0030b00001dokhbAAA,"Business Value","8.2"
0030b00001dokhbAAA,Community,"6.94"
0030b00001dokhbAAA,Enablement,"3.8"
0030b00001dokhbAAA,Foundations,"2.93"
0030b00001dokhbAAA,Governance,"5.04"
0030b00001dokhbAAA,"Operational Excellence","3.678"
0030b00001dozdBAAQ,"Business Value","8.8"
0030b00001dozdBAAQ,Community,10
0030b00001dozdBAAQ,Enablement,"9.26"
0030b00001dozdBAAQ,Foundations,"8.33"
0030b00001dozdBAAQ,Governance,"8.41"
0030b00001dozdBAAQ,"Operational Excellence","8.09"
0030b00001dpCdYAAU,"Business Value","9.45"
0030b00001dpCdYAAU,Community,"8.88"
0030b00001dpCdYAAU,Enablement,"9.2"
0030b00001dpCdYAAU,Foundations,"9.01"
0030b00001dpCdYAAU,Governance,"8.935"
0030b00001dpCdYAAU,"Operational Excellence","7.87"
0030b00001dpE6RAAU,"Business Value","8.3"
0030b00001dpE6RAAU,Community,"8.28"
0030b00001dpE6RAAU,Enablement,"8.42"
0030b00001dpE6RAAU,Foundations,"7.66"
0030b00001dpE6RAAU,Governance,"7.615"
0030b00001dpE6RAAU,"Operational Excellence","7.702"
0030b00001dpKPsAAM,"Business Value","9.6"
0030b00001dpKPsAAM,Community,"9.28"
0030b00001dpKPsAAM,Enablement,"8.88"
0030b00001dpKPsAAM,Foundations,"9.45"
0030b00001dpKPsAAM,Governance,"9.82"
0030b00001dpKPsAAM,"Operational Excellence","9.39"
0030b00001dpKkrAAE,"Business Value","4.1"
0030b00001dpKkrAAE,Community,"3.3"
0030b00001dpKkrAAE,Enablement,"2.88"
0030b00001dpKkrAAE,Foundations,"4.11"
0030b00001dpKkrAAE,Governance,"2.36"
0030b00001dpKkrAAE,"Operational Excellence","2.858"
0030b00001dpMuaAAE,"Business Value","4.25"
0030b00001dpMuaAAE,Community,"4.96"
0030b00001dpMuaAAE,Enablement,"5.72"
0030b00001dpMuaAAE,Foundations,"5.14"
0030b00001dpMuaAAE,Governance,"5.42"
0030b00001dpMuaAAE,"Operational Excellence","6.868"
0030b00001dpWhNAAU,"Business Value",10
0030b00001dpWhNAAU,Community,9
0030b00001dpWhNAAU,Enablement,9
0030b00001dpWhNAAU,Foundations,10
0030b00001dpWhNAAU,Governance,"5.66"
0030b00001dpWhNAAU,"Operational Excellence","7.792"
0030b00001dpb2cAAA,"Business Value","9.15"
0030b00001dpb2cAAA,Community,"9.38"
0030b00001dpb2cAAA,Enablement,"8.82"
0030b00001dpb2cAAA,Foundations,"9.34"
0030b00001dpb2cAAA,Governance,"6.985"
0030b00001dpb2cAAA,"Operational Excellence","9.506"
0030b00001dph0uAAA,"Business Value","9.65"
0030b00001dph0uAAA,Community,"8.9"
0030b00001dph0uAAA,Enablement,"8.3"
0030b00001dph0uAAA,Foundations,"7.87"
0030b00001dph0uAAA,Governance,"9.91"
0030b00001dph0uAAA,"Operational Excellence",10
0030b00001dpiOMAAY,"Business Value","6.85"
0030b00001dpiOMAAY,Community,"7.54"
0030b00001dpiOMAAY,Enablement,"7.54"
0030b00001dpiOMAAY,Foundations,"6.9"
0030b00001dpiOMAAY,Governance,"7.5"
0030b00001dpiOMAAY,"Operational Excellence","7.61"
