state,city,card_provider,response_code,amount
California,Sunnyvale,AMEX,Approved,1869.836934
Ohio,Cincinnati,MASTERCARD,Approved,2446.563025
Washington,Seattle,AMEX,Do not honor,2233.40531
Washington,Redmond,AMEX,Insufficient funds,6116.870888
California,Paradise,VISA,Approved,1408.16207
Ohio,Cincinnati,VISA,Insufficient funds,764.6996166
California,Mountain View,VISA,Approved,678.2200336
California,Mountain View,VISA,Approved,5176.117765
California,Mountain View,MASTERCARD,Approved,161.8207596
California,Mountain View,AMEX,Approved,384.8147014
Florida,Boca Raton,MASTERCARD,Approved,2972.558687
New Mexico,Glorieta,VISA,Do not honor,4949.455634
Alaska,Fairbanks,MASTERCARD,Insufficient funds,3465.999581
Washington,Redmond,VISA,Approved,254.8719978
Washington,Redmond,VISA,Approved,1686.200908
Washington,Redmond,VISA,Insufficient funds,773.7163348
Illinois,Chicago,AMEX,Approved,1534.071357
California,Mountain View,AMEX,Approved,100.0604508
California,Sunnyvale,AMEX,Approved,4035.631242
California,Menlo Park,VISA,Approved,852.9602837
California,Mountain View,VISA,Approved,58.69741103
New York,Rego Park,MASTERCARD,Approved,4202.077077
California,Mountain View,VISA,Approved,17.99896148
California,Menlo Park,MASTERCARD,Approved,1338.62127
New York,Rochester,VISA,Approved,485.4480234
Ohio,Cincinnati,MASTERCARD,Do not honor,3508.157055
Washington,Redmond,VISA,Approved,793.6259698
Washington,Redmond,VISA,Approved,623.7991177
California,Sunnyvale,AMEX,Approved,150.991497
Texas,San Antonio,AMEX,Approved,664.8032129
Tennessee,Hendersonville,VISA,Approved,82.42970781
California,Mountain View,MASTERCARD,Approved,2832.189185
California,Mountain View,VISA,Approved,1734.132392
California,Pasadena,DISCOVER,Insufficient funds,1357.419827
California,Mountain View,VISA,Approved,246.7054212
California,Mountain View,MASTERCARD,Do not honor,2964.551813
California,Mountain View,MASTERCARD,Approved,1020.16897
California,Mountain View,MASTERCARD,Approved,43.61652209
Virginia,Ashburn,VISA,Approved,297.0163725
Virginia,Ashburn,VISA,Approved,1005.633929
Virginia,Ashburn,MASTERCARD,Do not honor,556.0572678
Florida,Boca Raton,VISA,Approved,1508.006627
Nevada,Las Vegas,AMEX,Approved,291.1240201
Ohio,Cincinnati,MASTERCARD,Approved,1346.802852
California,Mountain View,VISA,Approved,5449.801576
California,San Jose,MASTERCARD,Approved,3059.623446
California,Mountain View,MASTERCARD,Approved,154.1681032
California,Mountain View,MASTERCARD,Approved,6635.692618
New Jersey,Cresskill,AMEX,Approved,636.2287837
Washington,Redmond,MASTERCARD,Approved,251.8984009
California,Menlo Park,MASTERCARD,Approved,481.2104385
Louisiana,Covington,VISA,Approved,4673.890584
Ohio,Cincinnati,AMEX,Approved,1647.018802
California,Menlo Park,MASTERCARD,Approved,13.50957041
Washington,Seattle,AMEX,Approved,1532.380634
Washington,Redmond,VISA,Approved,420.5626347
Ohio,Cincinnati,AMEX,Approved,434.7046578
Virginia,Ashburn,MASTERCARD,Approved,2617.370823
Virginia,Ashburn,AMEX,Approved,2834.282379
Washington,Redmond,VISA,Approved,1090.695255
